| #  | Trade Date | Exit Date  |Ticker |Enter Price | Stop Loss  |Take Profit | Exit Price | Winner |  Capital   | Position |Spread|
+----------------------------------------------------------------------------------------------------------------------------------+
| 1  | 2017-02-01 | 2017-05-03 | INTC  |      36.520|      32.868|       0.000|      36.843|  Yes   |   1,007.730|   Long   | 0.007|
| 2  | 2017-02-03 | 2017-02-15 | GOOGL |      41.010|      36.909|       0.000|      41.869|  Yes   |   1,027.346|   Long   | 0.001|
| 3  | 2017-02-06 | 2017-02-16 | HBAN  |      13.530|      12.177|       0.000|      14.167|  Yes   |   1,074.112|   Long   | 0.003|
| 4  | 2017-02-10 | 2017-02-23 |  TXN  |      75.160|      67.644|       0.000|      77.120|  Yes   |   1,100.556|   Long   | 0.020|
| 5  | 2017-02-13 | 2017-02-22 | INTC  |      35.800|      32.220|       0.000|      36.064|  Yes   |   1,107.464|   Long   | 0.006|
| 6  | 2017-02-15 | 2017-03-02 |  WDC  |      76.010|      68.409|       0.000|      76.221|  Yes   |   1,109.411|   Long   | 0.059|
| 7  | 2017-02-17 | 2017-02-23 | NFLX  |     142.220|     127.998|       0.000|     142.751|  Yes   |   1,112.126|   Long   | 0.029|
| 8  | 2017-02-21 | 2017-02-23 | META  |     133.720|     120.348|       0.000|     135.360|  Yes   |   1,124.244|   Long   | 0.000|
| 9  | 2017-02-24 | 2017-05-25 | NWSA  |      13.100|      11.790|       0.000|      13.209|  Yes   |   1,132.544|   Long   | 0.001|
| 10 | 2017-02-27 | 2017-03-06 | TSLA  |      16.420|      14.778|       0.000|      16.747|  Yes   |   1,153.769|   Long   | 0.003|
| 11 | 2017-03-01 | 2017-03-10 |  KHC  |      91.280|      82.152|       0.000|      91.461|  Yes   |   1,154.947|   Long   | 0.049|
| 12 | 2017-03-06 | 2017-03-20 | COST  |     166.730|     150.057|       0.000|     167.303|  Yes   |   1,157.384|   Long   | 0.137|
| 13 | 2017-03-08 | 2017-03-10 | CMCSA |      37.110|      33.399|       0.000|      37.180|  Yes   |   1,158.554|   Long   | 0.140|
| 14 | 2017-03-10 | 2017-03-16 |  BTC  |   1,116.720|   1,005.048|       0.000|   1,187.340|  Yes   |   1,228.174|   Long   | 0.470|
| 15 | 2017-03-14 | 2017-03-21 | PYPL  |      42.100|      37.890|       0.000|      42.638|  Yes   |   1,242.786|   Long   | 0.002|
| 16 | 2017-03-20 | 2017-04-19 | PTEN  |      25.370|      22.833|       0.000|      22.819|   No   |   1,119.325|   Long   | 0.014|
| 17 | 2017-03-23 | 2017-04-05 | GOGO  |      11.120|      10.008|       0.000|      11.348|  Yes   |   1,141.143|   Long   | 0.002|
| 18 | 2017-03-27 | 2017-03-31 | LBTYK |      34.880|      31.392|       0.000|      35.019|  Yes   |   1,144.595|   Long   | 0.021|
| 19 | 2017-03-29 | 2017-04-04 | GOOGL |      42.490|      38.241|       0.000|      42.622|  Yes   |   1,147.021|   Long   | 0.008|
| 20 | 2017-03-31 | 2017-04-26 | AMGN  |     164.070|     147.663|       0.000|     164.569|  Yes   |   1,149.017|   Long   | 0.041|
| 21 | 2017-04-03 | 2017-04-05 | SIRI  |      51.000|      45.900|       0.000|      51.081|  Yes   |   1,149.808|   Long   | 0.019|
| 22 | 2017-04-07 | 2017-06-14 | SMCI  |       2.480|       2.232|       0.000|       2.489|  Yes   |   1,151.653|   Long   | 0.001|
| 23 | 2017-04-11 | 2017-04-21 |  MU   |      27.180|      24.462|       0.000|      27.313|  Yes   |   1,156.246|   Long   | 0.007|
| 24 | 2017-04-13 | 2017-04-26 |  WDC  |      83.500|      75.150|       0.000|      84.537|  Yes   |   1,168.723|   Long   | 0.073|
| 25 | 2017-04-17 | 2017-05-26 | INCY  |     126.070|     113.463|       0.000|     134.139|  Yes   |   1,240.345|   Long   | 0.241|
| 26 | 2017-04-20 | 2017-05-11 | NTES  |      53.230|      47.907|       0.000|      55.330|  Yes   |   1,287.638|   Long   | 0.020|
| 27 | 2017-04-24 | 2017-05-01 | EBAY  |      32.050|      28.845|       0.000|      33.298|  Yes   |   1,336.547|   Long   | 0.012|
| 28 | 2017-04-26 | 2017-04-28 | EXAS  |      23.800|      21.420|       0.000|      29.996|  Yes   |   1,682.542|   Long   | 0.014|
| 29 | 2017-05-01 | 2017-05-09 | ZION  |      40.520|      36.468|       0.000|      40.924|  Yes   |   1,698.116|   Long   | 0.006|
| 30 | 2017-05-05 | 2017-05-17 |  AZN  |      30.460|      27.414|       0.000|      34.157|  Yes   |   1,900.464|   Long   | 0.013|
| 31 | 2017-05-09 | 2017-05-25 |  HST  |      17.830|      16.047|       0.000|      18.086|  Yes   |   1,926.563|   Long   | 0.004|
| 32 | 2017-05-12 | 2017-06-07 | PCAR  |      42.250|      38.025|       0.000|      42.270|  Yes   |   1,926.451|   Long   | 0.030|
| 33 | 2017-05-16 | 2017-07-04 |  SLM  |      11.050|       9.945|       0.000|      11.482|  Yes   |   2,000.629|   Long   | 0.008|
| 34 | 2017-05-19 | 2017-06-05 | INTU  |     125.380|     112.842|       0.000|     142.610|  Yes   |   2,258.080|   Long   | 0.040|
| 35 | 2017-05-23 | 2017-05-26 | NFLX  |     157.950|     142.155|       0.000|     162.353|  Yes   |   2,318.727|   Long   | 0.077|
| 36 | 2017-05-29 | 2017-06-09 | FOLD  |       7.660|       6.894|       0.000|       8.446|  Yes   |   2,554.464|   Long   | 0.014|
| 37 | 2017-06-02 | 2017-06-09 | NTAP  |      39.410|      35.469|       0.000|      39.516|  Yes   |   2,560.239|   Long   | 0.004|
| 38 | 2017-06-06 | 2017-06-09 |  STX  |      41.890|      37.701|       0.000|      42.347|  Yes   |   2,587.146|   Long   | 0.023|
| 39 | 2017-06-09 | 2017-06-13 | TMUS  |      63.840|      57.456|       0.000|      63.984|  Yes   |   2,591.924|   Long   | 0.026|
| 40 | 2017-06-12 | 2017-06-27 |  HPQ  |      17.740|      15.966|       0.000|      17.768|  Yes   |   2,594.976|   Long   | 0.002|
| 41 | 2017-06-14 | 2017-06-22 | BIDU  |     178.200|     160.380|       0.000|     179.201|  Yes   |   2,607.997|   Long   | 0.129|
| 42 | 2017-06-16 | 2017-06-20 | FLEX  |      12.430|      11.187|       0.000|      12.577|  Yes   |   2,637.713|   Long   | 0.013|
| 43 | 2017-06-20 | 2017-06-27 | NTAP  |      38.260|      34.434|       0.000|      39.599|  Yes   |   2,727.799|   Long   | 0.031|
| 44 | 2017-06-26 | 2017-07-10 |  UAL  |      77.030|      69.327|       0.000|      78.211|  Yes   |   2,768.140|   Long   | 0.049|
| 45 | 2017-06-30 | 2017-07-13 |  ADI  |      77.800|      70.020|       0.000|      80.185|  Yes   |   2,850.600|   Long   | 0.085|
| 46 | 2017-07-03 | 2017-07-06 | MSFT  |      68.170|      61.353|       0.000|      68.560|  Yes   |   2,865.582|   Long   | 0.010|
| 47 | 2017-07-06 | 2017-07-10 | SBUX  |      57.600|      51.840|       0.000|      57.797|  Yes   |   2,874.218|   Long   | 0.013|
| 48 | 2017-07-10 | 2017-07-14 | BLUE  |      60.881|      54.793|       0.000|      61.893|  Yes   |   2,920.789|   Long   | 0.154|
| 49 | 2017-07-12 | 2017-07-24 |  ADP  |     102.500|      92.250|       0.000|     103.477|  Yes   |   2,947.157|   Long   | 0.063|
| 50 | 2017-07-17 | 2017-07-19 | NTES  |      60.400|      54.360|       0.000|      61.346|  Yes   |   2,991.580|   Long   | 0.044|
| 51 | 2017-07-20 | 2017-07-26 |  SLM  |      10.980|       9.882|       0.000|      11.111|  Yes   |   3,025.746|   Long   | 0.009|
| 52 | 2017-07-24 | 2017-07-26 | BLMN  |      20.610|      18.549|       0.000|      18.524|   No   |   2,720.249|   Long   | 0.025|
| 53 | 2017-07-28 | 2017-09-14 | ERIC  |       6.340|       5.706|       0.000|       5.703|   No   |   2,444.625|   Long   | 0.003|
| 54 | 2017-07-31 | 2017-08-09 | EXEL  |      27.110|      24.399|       0.000|      27.159|  Yes   |   2,448.017|   Long   | 0.031|
| 55 | 2017-08-03 | 2017-09-04 | GILD  |      74.370|      66.933|       0.000|      82.539|  Yes   |   2,708.421|   Long   | 0.021|
| 56 | 2017-08-07 | 2017-08-23 |  ADI  |      78.870|      70.983|       0.000|      79.038|  Yes   |   2,713.119|   Long   | 0.032|
| 57 | 2017-08-11 | 2017-08-15 | LITE  |      51.950|      46.755|       0.000|      52.893|  Yes   |   2,761.146|   Long   | 0.107|
| 58 | 2017-08-14 | 2017-09-14 | QRTEA |      22.830|      20.547|       0.000|      23.106|  Yes   |   2,793.240|   Long   | 0.004|
| 59 | 2017-08-16 | 2017-08-23 |  HON  |     130.210|     117.189|       0.000|     130.674|  Yes   |   2,801.982|   Long   | 0.066|
| 60 | 2017-08-18 | 2017-08-28 | SMCI  |       2.670|       2.403|       0.000|       2.727|  Yes   |   2,856.680|   Long   | 0.003|
| 61 | 2017-08-21 | 2017-08-23 | MLCO  |      20.810|      18.729|       0.000|      20.898|  Yes   |   2,867.738|   Long   | 0.002|
| 62 | 2017-08-24 | 2017-09-04 |  ADP  |     104.590|      94.131|       0.000|     106.355|  Yes   |   2,914.380|   Long   | 0.075|
| 63 | 2017-08-28 | 2017-09-06 | MDXG  |      15.510|      13.959|       0.000|      16.391|  Yes   |   3,078.199|   Long   | 0.039|
| 64 | 2017-08-31 | 2017-10-26 |  NOK  |       6.180|       5.562|       0.000|       5.562|   No   |   2,767.861|   Long   | 0.000|
| 65 | 2017-09-04 | 2017-09-15 | SMCI  |       2.650|       2.385|       0.000|       2.382|   No   |   2,482.807|   Long   | 0.003|
| 66 | 2017-09-06 | 2017-09-08 |  ON   |      16.560|      14.904|       0.000|      16.592|  Yes   |   2,486.537|   Long   | 0.008|
| 67 | 2017-09-11 | 2017-09-15 | SMCI  |       2.600|       2.340|       0.000|       2.338|   No   |   2,231.747|   Long   | 0.002|
| 68 | 2017-09-14 | 2017-09-18 | AVGO  |      24.690|      22.221|       0.000|      24.972|  Yes   |   2,256.127|   Long   | 0.008|
